x,y,z
-4.463869999999999783e-01,-2.174821999999999811e+00,-2.146609999999999907e-01
-3.564454999999999707e-01,-2.179649999999999643e+00,-2.291365000000000207e-01
-2.375841999999999954e-01,-2.221553799999999690e+00,-2.410450000000000093e-01
-2.174892500000000228e-01,-2.225576750000000104e+00,-2.449361250000000045e-01
-2.683018888888888953e-01,-2.181154166666666949e+00,-2.445014444444444379e-01
-2.425526000000000071e-01,-2.223350399999999727e+00,-2.203815999999999831e-01
-2.220061999999999869e-01,-2.226278199999999874e+00,-2.216080999999999468e-01
-2.713993846153846534e-01,-2.186411461538461776e+00,-2.249112307692307244e-01
-4.466341428571429240e-01,-2.162028035714285590e+00,-2.444511071428571436e-01
-3.578306666666666858e-01,-2.161060399999999326e+00,-2.447230666666666832e-01
-3.657167692307692897e-01,-2.134052153846154098e+00,-2.442243846153845932e-01
-4.480265555555554280e-01,-2.160302740740740912e+00,-2.207352962962962906e-01
-3.549265294117647240e-01,-2.164415647058823389e+00,-2.204579411764706065e-01
-3.743611000000000577e-01,-2.138687399999999794e+00,-2.220321000000000100e-01
-2.806017857142856786e-01,-2.166681785714285269e+00,-2.450492857142857195e-01
-3.120042000000000093e-01,-2.136987200000000087e+00,-2.476930000000000243e-01
-2.857868666666666391e-01,-2.166431466666667305e+00,-2.194566666666667443e-01
-3.165119999999999600e-01,-2.139980666666666753e+00,-2.254386666666666761e-01
-4.331213333333333027e-01,-2.177579333333333533e+00,-2.000889999999999891e-01
-3.516603333333332970e-01,-2.175968333333333060e+00,-1.969653333333333534e-01
-2.564165000000000472e-01,-2.222569000000000017e+00,-1.885310000000000041e-01
-2.148400000000000032e-01,-2.227505499999999916e+00,-1.986289166666666828e-01
-2.703576666666667183e-01,-2.182670888888888605e+00,-2.007925555555555575e-01
-2.592277499999999790e-01,-2.215342999999999840e+00,-1.728782499999999833e-01
-2.003710909090909154e-01,-2.229509818181818037e+00,-1.732120909090908711e-01
-2.661673333333333669e-01,-2.179524333333333619e+00,-1.750359999999999971e-01
